asset_tag,name,model_name,manufacturer,category,status_label,notes,serial,requestable
TAG-00001,Canon XF100 #1,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00002,Canon XF100 #2,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00003,Canon XF100 #3,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00004,Canon XF100 #4,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00005,Canon XF100 #5,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00006,Canon XF100 #6,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00007,Canon XF100 #7,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00008,Canon XF100 #8,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00009,Canon XF100 #9,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00010,Canon XF100 #10,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00011,Canon XF100 #11,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students,,1
TAG-00012,Cannon XF 605 #1,XF 605,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | XF 605 Camera/Stic Mic/XLR Cable,,1
TAG-00013,Cannon XF 605 #2,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable,,1
TAG-00014,Cannon XF 605 #3,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable,,1
TAG-00015,Cannon XF 605 #4,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable,,1
TAG-00016,Cannon XF 605 #5,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable,,1
TAG-00017,Cannon XF 605 #6,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable,,1
TAG-00018,Cannon XF 605 #7,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable,,1
TAG-00019,Cannon XF 605 #8,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable,,1
