Asset Name,Model,Manufacturer,Category,Status,Notes
Canon XF100 #1,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #2,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #3,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #4,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #5,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #6,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #7,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #8,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #9,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #10,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Canon XF100 #11,XF 100,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | For use by MC 204 Students
Cannon XF 605 #1,XF 605,Canon,Video Camera,Ready to Deploy,XF100 Camera/Stick Mic/Lav mic/XLR Cable/CF Card/One Battery and Charger/Transfer Cable | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #2,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #3,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #4,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #5,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #6,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #7,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #8,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #9,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Cannon XF 605 #10,XF 605,Canon,Video Camera,Ready to Deploy,XF 605 Camera/Stic Mic/XLR Cable/SD Card/One Battery and Charger | XF 605 Camera/Stic Mic/XLR Cable
Small Tripod,MVT502AM,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF100 cams
